# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased
59 4.57142857142857 0 4.23628413260287e-08 3.28235090177462e-09 0 0
59 4.57142857142857 0 4.23628413260287e-08 3.28235090177462e-09 0 0
59 4.57142857142857 0 4.23628413260287e-08 3.28235090177462e-09 0 0
59 2.14285714285714 0 4.23628413260287e-08 1.53860198520685e-09 0 0
59 2.14285714285714 0.142857142857143 4.23628413260287e-08 1.53860198520685e-09 1.02573465680457e-10 1
59 0 0.142857142857143 4.23628413260287e-08 0 1.02573465680457e-10 1
59 0 0.142857142857143 4.23628413260287e-08 0 1.02573465680457e-10 1
59 0 0.142857142857143 4.23628413260287e-08 0 1.02573465680457e-10 1
59 0 0.285714285714286 4.23628413260287e-08 0 2.05146931360914e-10 2
59 0 0.285714285714286 4.23628413260287e-08 0 2.05146931360914e-10 2
63 0.571428571428571 0.285714285714286 4.52348983650815e-08 4.10293862721828e-10 2.05146931360914e-10 2
80 3 0.142857142857143 5.74411407810559e-08 2.1540427792896e-09 1.02573465680457e-10 2
216 22.4285714285714 0.285714285714286 1.55091080108851e-07 1.61040341118317e-08 2.05146931360914e-10 3
235 25.1428571428571 0.285714285714286 1.68733351044352e-07 1.80529299597604e-08 2.05146931360914e-10 3
386 46.7142857142857 0.714285714285714 2.77153504268595e-07 3.35415232775094e-08 5.12867328402285e-10 6
526 66.7142857142857 2.14285714285714 3.77675500635443e-07 4.79018084727734e-08 1.53860198520685e-09 17
623 80.5714285714286 2.14285714285714 4.47322883832473e-07 5.78514346437777e-08 1.53860198520685e-09 17
882 117 3.42857142857143 6.33288577111141e-07 8.40076683922943e-08 2.46176317633097e-09 26
1323 177.571428571429 5.57142857142857 9.49932865666712e-07 1.27498817840808e-07 4.00036516153782e-09 41
1988 253.142857142857 7.57142857142857 1.42741234840924e-06 1.8176018118577e-07 5.43639368106422e-09 56
2775 362.857142857143 11.1428571428571 1.99248957084288e-06 2.60536602828361e-07 8.00073032307564e-09 81
4528 591.714285714286 14.2857142857143 3.25116856820776e-06 4.24859294848453e-07 1.02573465680457e-08 106
5994 781.142857142857 16.4285714285714 4.30377747302061e-06 5.60871710340739e-07 1.17959485532526e-08 132
7734 1015.85714285714 21.8571428571429 5.55312228500858e-06 7.2939991445373e-07 1.56937402491099e-08 170
9714 1261.71428571429 26.7142857142857 6.97479051933971e-06 9.05928848889796e-07 1.91812380822455e-08 213
11809 1498 31.1428571428571 8.47903039354362e-06 1.07558536112527e-06 2.23610155183396e-08 259
14399 1773 35.4285714285714 1.03386873263303e-05 1.27303928256015e-06 2.54382194887533e-08 304
17211 2062.28571428571 40 1.23577434247844e-05 1.48075055056308e-06 2.8720570390528e-08 361
20448 2274.28571428571 45.7142857142857 1.46819555836379e-05 1.63296957363288e-06 3.28235090177462e-08 426
24320 2618 51.4285714285714 1.7462106797441e-05 1.87976133206005e-06 3.69264476449645e-08 492
28047 2901.85714285714 56.2857142857143 2.01381459435784e-05 2.08357480836712e-06 4.04139454781001e-08 564
31207 3070.42857142857 60.5714285714286 2.24070710044301e-05 2.20461149787006e-06 4.34911494485138e-08 637
34625 3259.42857142857 66.2857142857143 2.48612437443008e-05 2.34031619296531e-06 4.7594088075732e-08 723
37232 3261.85714285714 72.5714285714286 2.67331069195034e-05 2.34205994188187e-06 5.21073205656721e-08 812
40206 3285 78.2857142857143 2.88684813280392e-05 2.35867684332211e-06 5.62102591928904e-08 909
42696 3178.28571428571 84.4285714285714 3.06563368348495e-05 2.28205446445881e-06 6.06209182171501e-08 1017
44724 2914.85714285714 88.8571428571429 3.21124697536493e-05 2.09290899374404e-06 6.38006956532442e-08 1114
59865 4545.42857142857 114.857142857143 4.29839236607239e-05 3.26368253102078e-06 8.24690664070874e-08 1368
64021 4687.71428571429 106.285714285714 4.59679909242998e-05 3.36584570283852e-06 7.631465846626e-08 1381
66559 4562 114.428571428571 4.77903111155788e-05 3.27558105303971e-06 8.21613460100461e-08 1524
68566 4476.28571428571 122 4.92313657349235e-05 3.21403697363144e-06 8.75977396911103e-08 1666
70618 4344.57142857143 123.142857142857 5.07047309959576e-05 3.11946423827406e-06 8.84183274165539e-08 1771
72508 4258.85714285714 121.714285714286 5.206177794691e-05 3.05792015886578e-06 8.73925927597493e-08 1869
74258 4219.14285714286 127.714285714286 5.33183029014956e-05 3.02940473540662e-06 9.17006783183285e-08 2008
74652 2112.42857142857 107.428571428571 5.36012005198423e-05 1.51675383701692e-06 7.71352461917037e-08 2120
75543 1646 122.428571428571 5.42409512252913e-05 1.18185147157023e-06 8.79054600881516e-08 2238
76369 1401.42857142857 117.571428571429 5.48340310038557e-05 1.00624569832528e-06 8.44179622550161e-08 2347
77016 1207.14285714286 111.285714285714 5.52985862299225e-05 8.66745784999861e-07 7.9904729765076e-08 2445
77234 945.142857142857 117.714285714286 5.54551133385509e-05 6.78626048941903e-07 8.45205357206966e-08 2595
77749 748.714285714286 113.714285714286 5.58248906823289e-05 5.37587533631275e-07 8.16484786816438e-08 2665
78159 557.285714285714 101.285714285714 5.61192765288319e-05 4.00139089619463e-07 7.2724587167444e-08 2717
78598 563.714285714286 89.4285714285714 5.64344847888679e-05 4.04754895575083e-07 6.42109895159661e-08 2746
78927 483.428571428571 78.8571428571429 5.667071148033e-05 3.47108607862666e-07 5.66205530556123e-08 2790
79355 426.571428571429 70 5.69780215835087e-05 3.06284368521845e-07 5.02609981834239e-08 2837
79929 416.142857142857 61 5.73901617686127e-05 2.98796505527171e-07 4.37988698455551e-08 2872
80134 414.285714285714 45.5714285714286 5.75373546918642e-05 2.97463050473325e-07 3.27209355520658e-08 2914
80261 358.857142857143 40.1428571428571 5.76285425028541e-05 2.57664545789308e-07 2.88231438562084e-08 2946
80380 317.285714285714 38 5.77139861997659e-05 2.27815667276295e-07 2.72845418710016e-08 2983
80497 271.285714285714 38.2857142857143 5.77979938681582e-05 1.94787011327188e-07 2.74896888023625e-08 3014
80667 248.571428571429 36.2857142857143 5.7920056292318e-05 1.78477830283995e-07 2.60536602828361e-08 3044
80768 201.857142857143 33.5714285714286 5.7992575732554e-05 1.44936307006486e-07 2.41047644349074e-08 3072
80814 126.428571428571 32.4285714285714 5.80256043885032e-05 9.07775171272044e-08 2.32841767094637e-08 3099
80859 103.571428571429 29.7142857142857 5.80579150301925e-05 7.43657626183313e-08 2.13352808615351e-08 3122
80879 88.2857142857143 27.5714285714286 5.80722753153878e-05 6.33904017905224e-08 1.97966788763282e-08 3139
80908 75.4285714285714 25.4285714285714 5.80930977289209e-05 5.41587898792813e-08 1.82580768911213e-08 3161
80932 62.1428571428571 22.5714285714286 5.81103300711552e-05 4.46194575709988e-08 1.62066075775122e-08 3172
80954 41 19.2857142857143 5.812612638487e-05 2.94385846502912e-08 1.38474178668617e-08 3179
80973 29.2857142857143 17.4285714285714 5.81397686558055e-05 2.10275604644937e-08 1.25139628130158e-08 3194
80995 25.8571428571429 14.8571428571429 5.81555649695203e-05 1.85657972881627e-08 1.06676404307675e-08 3203
81020 23 13.4285714285714 5.81735153260144e-05 1.65143279745536e-08 9.64190577396296e-09 3216
81063 26.2857142857143 12.2857142857143 5.82043899391842e-05 1.88735176852041e-08 8.8213180485193e-09 3225
81086 25.4285714285714 11.4285714285714 5.82209042671587e-05 1.82580768911213e-08 8.20587725443656e-09 3241
81130 28.2857142857143 11 5.82524968945883e-05 2.03095462047305e-08 7.89815685739519e-09 3249
81229 39.2857142857143 10.5714285714286 5.83235803063049e-05 2.82077030621257e-08 7.59043646035382e-09 3253
81281 44 9.28571428571429 5.83609170478126e-05 3.15926274295808e-08 6.6672752692297e-09 3259
81346 50.1428571428571 8.85714285714286 5.84075879746972e-05 3.60032864538404e-08 6.35955487218833e-09 3265
81484 66.2857142857143 8.28571428571429 5.85066739425445e-05 4.7594088075732e-08 5.94926100946651e-09 3274
81553 70 8 5.85562169264682e-05 5.02609981834239e-08 5.74411407810559e-09 3281
81631 77.8571428571429 6.28571428571429 5.86122220387297e-05 5.59025387958491e-08 4.51323248994011e-09 3285
81733 86.1428571428571 6 5.86854594932255e-05 6.18517998053156e-08 4.30808555857919e-09 3291
81827 85.4285714285714 6.14285714285714 5.87529528336433e-05 6.13389324769133e-08 4.41065902425965e-09 3296
81946 95 5.71428571428571 5.88383965305551e-05 6.82113546775039e-08 4.10293862721828e-09 3299
82059 101.857142857143 5.57142857142857 5.89195321419083e-05 7.31348810301658e-08 4.00036516153782e-09 3304
82157 96.1428571428571 4.57142857142857 5.89898975393651e-05 6.90319424029475e-08 3.28235090177462e-09 3306
82241 98.2857142857143 4 5.90502107371852e-05 7.05705443881544e-08 2.8720570390528e-09 3309
