# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
1 0.142857142857143 0 2.01415203645373e-08 2.87736005207676e-09 0 0 1
3 0.428571428571429 0 6.04245610936121e-08 8.63208015623029e-09 0 0 2.84834008138958
9 1.28571428571429 0 1.81273683280836e-07 2.58962404686909e-08 0 0 8.41636105647124
16 2.28571428571429 0 3.22264325832598e-07 4.60377608332282e-08 0 0 14.1399364236509
34 4.85714285714286 0 6.8481169239427e-07 9.783024177061e-08 0 0 29.9954748164835
45 6.42857142857143 0 9.06368416404181e-07 1.29481202343454e-07 0 0 36.4463635471347
57 8.14285714285714 0 1.14806666077863e-06 1.64009522968376e-07 0 0 42.9189110179304
65 9.14285714285714 0 1.30919882369493e-06 1.84151043332913e-07 0 0 44.4098324661032
102 14.1428571428571 0 2.05443507718281e-06 2.848586451556e-07 0 0 74.6746408887916
128 17 0 2.57811460666078e-06 3.42405846197135e-07 0 0 89.3494909293351
158 20.2857142857143 0 3.1823602175969e-06 4.085851273949e-07 0 0 105.79875440711
210 25.1428571428571 0.142857142857143 4.22971927655284e-06 5.0641536916551e-07 2.87736005207676e-09 1 141.753323924643
235 27.1428571428571 0.285714285714286 4.73325728566628e-06 5.46698409894585e-07 5.75472010415353e-09 2 145.255026355475
306 35.5714285714286 0.428571428571429 6.16330523154843e-06 7.16462652967114e-07 8.63208015623029e-09 3 194.22566088065
378 44.7142857142857 0.428571428571429 7.61349469779512e-06 9.00613696300027e-07 8.63208015623029e-09 3 236.769412959435
470 52.5714285714286 0.571428571428571 9.46651457133255e-06 1.05886849916425e-06 1.15094402083071e-08 4 292.86098306057
491 51.8571428571429 0.857142857142857 9.88948649898784e-06 1.04448169890387e-06 1.72641603124606e-08 6 269.445710205436
539 54.4285714285714 0.857142857142857 1.08562794764856e-05 1.09627417984125e-06 1.72641603124606e-08 6 276.581595725753
608 56.8571428571429 0.714285714285714 1.22460443816387e-05 1.14518930072655e-06 1.43868002603838e-08 6 303.635253428845
702 66.7142857142857 1.14285714285714 1.41393472959052e-05 1.34372714431985e-06 2.30188804166141e-08 10 351.585955606572
798 70.2857142857143 1.57142857142857 1.60729332509008e-05 1.41566114562177e-06 3.16509605728444e-08 14 394.264458194712
906 75.4285714285714 1.85714285714286 1.82482174502708e-05 1.51924610749653e-06 3.74056806769979e-08 16 442.470342553921
1065 85 1.85714285714286 2.14507191882323e-05 1.71202923098567e-06 3.74056806769979e-08 17 534.365326414668
1161 95.7142857142857 1.85714285714286 2.33843051432279e-05 1.92783123489143e-06 3.74056806769979e-08 19 549.323524502389
1267 104 2.71428571428571 2.55193063018688e-05 2.09471811791188e-06 5.46698409894585e-08 25 572.013163485567
1406 114 3.71428571428571 2.83189776325395e-05 2.29613332155726e-06 7.48113613539959e-08 32 624.261693667257
