# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1 0.142857142857143 0 1.20586646316786e-08 1.72266637595408e-09 0 0
4 0.571428571428571 0 4.82346585267143e-08 6.89066550381633e-09 0 0
4 0.571428571428571 0 4.82346585267143e-08 6.89066550381633e-09 0 0
5 0.714285714285714 0 6.02933231583929e-08 8.61333187977041e-09 0 0
7 1 0 8.44106524217501e-08 1.20586646316786e-08 0 0
8 1.14285714285714 0 9.64693170534286e-08 1.37813310076327e-08 0 0
9 1.28571428571429 0 1.08527981685107e-07 1.55039973835867e-08 0 0
11 1.42857142857143 0 1.32645310948464e-07 1.72266637595408e-08 0 0
11 1 0 1.32645310948464e-07 1.20586646316786e-08 0 0
11 1 0 1.32645310948464e-07 1.20586646316786e-08 0 0
12 1 0 1.44703975580143e-07 1.20586646316786e-08 0 0
13 0.857142857142857 0 1.56762640211822e-07 1.03359982557245e-08 0 0
13 0.714285714285714 0 1.56762640211822e-07 8.61333187977041e-09 0 0
13 0.571428571428571 0 1.56762640211822e-07 6.89066550381633e-09 0 0
13 0.285714285714286 0 1.56762640211822e-07 3.44533275190817e-09 0 0
15 0.571428571428571 0 1.80879969475179e-07 6.89066550381633e-09 0 0
15 0.571428571428571 0 1.80879969475179e-07 6.89066550381633e-09 0 0
15 0.428571428571429 0 1.80879969475179e-07 5.16799912786225e-09 0 0
15 0.285714285714286 0 1.80879969475179e-07 3.44533275190817e-09 0 0
15 0.285714285714286 0 1.80879969475179e-07 3.44533275190817e-09 0 0
15 0.285714285714286 0 1.80879969475179e-07 3.44533275190817e-09 0 0
15 0.285714285714286 0 1.80879969475179e-07 3.44533275190817e-09 0 0
15 0 0 1.80879969475179e-07 0 0 0
15 0 0 1.80879969475179e-07 0 0 0
15 0 0 1.80879969475179e-07 0 0 0
15 0 0 1.80879969475179e-07 0 0 0
15 0 0 1.80879969475179e-07 0 0 0
15 0 0 1.80879969475179e-07 0 0 0
15 0 0 1.80879969475179e-07 0 0 0
17 0.285714285714286 0 2.04997298738536e-07 3.44533275190817e-09 0 0
21 0.857142857142857 0 2.5323195726525e-07 1.03359982557245e-08 0 0
47 4.57142857142857 0 5.66757237688893e-07 5.51253240305307e-08 0 0
57 6 0 6.87343884005679e-07 7.23519877900715e-08 0 0
111 13.7142857142857 0 1.33851177411632e-06 1.65375972091592e-07 0 0
129 16.2857142857143 0 1.55556773748654e-06 1.96383966858765e-07 0 0
157 20.2857142857143 0 1.89321034717354e-06 2.4461862538548e-07 0 0
196 25.5714285714286 0 2.363498267809e-06 3.08357281295781e-07 0 0
262 34.4285714285714 0 3.15937013349979e-06 4.15162596604934e-07 0 0
400 50.4285714285714 0 4.82346585267143e-06 6.08101230711791e-07 0 0
684 89.5714285714286 0 8.24812660806815e-06 1.08011181772321e-06 0 0
847 105.142857142857 0 1.02136889430318e-05 1.2678824527022e-06 0 0
902 110.428571428571 0 1.08769154977741e-05 1.33162110861251e-06 0 0
1139 140.285714285714 0.285714285714286 1.37348190154819e-05 1.69165838118691e-06 3.44533275190817e-09 2
1296 157.142857142857 0.285714285714286 1.56280293626554e-05 1.89493301354949e-06 3.44533275190817e-09 2
1567 186.428571428571 0.428571428571429 1.88959274778403e-05 2.24807962062008e-06 5.16799912786225e-09 3
2369 281.285714285714 0.714285714285714 2.85669765124466e-05 3.39193009425359e-06 8.61333187977041e-09 5
3062 339.714285714286 0.714285714285714 3.69236311021998e-05 4.09650064201881e-06 8.61333187977041e-09 5
3795 421.142857142857 1.14285714285714 4.57626322772202e-05 5.07842047631264e-06 1.37813310076327e-08 8
4838 562.285714285714 1.71428571428571 5.8339819488061e-05 6.78041485575527e-06 2.0671996511449e-08 12
6012 696.142857142857 1.57142857142857 7.24966917656516e-05 8.39455325002425e-06 1.89493301354949e-08 13
7156 837.142857142857 1.57142857142857 8.62918041042919e-05 1.00948249630909e-05 1.89493301354949e-08 13
8198 947.285714285714 1.42857142857143 9.8856932650501e-05 1.14230007389515e-05 1.72266637595408e-08 13
14138 1681.28571428571 5.42857142857143 0.000170485400562672 2.02740605786036e-05 6.54613222862552e-08 43
18187 2160.71428571429 5.71428571428571 0.000219310933656338 2.60553289363055e-05 6.89066550381633e-08 45
21463 2524 8.42857142857143 0.000258815118989717 3.04360695303567e-05 1.01637316181291e-07 67
24774 2848 11.7142857142857 0.000298741357585205 3.43430768710206e-05 1.41258642828235e-07 94
29212 3314.28571428571 16.1428571428571 0.000352257711220595 3.99658599221347e-05 1.94661300482811e-07 126
31554 3485.42857142857 19.4285714285714 0.000380499103787986 4.20296142405277e-05 2.34282627129755e-07 149
36508 4044.28571428571 26.4285714285714 0.000440237728373322 4.87686851032601e-05 3.18693279551505e-07 198
42288 4021.42857142857 30 0.000509936809944424 4.84930584831074e-05 3.61759938950357e-07 253
48582 4342.14285714286 40 0.000585834045136209 5.23604444971243e-05 4.82346585267143e-07 325
52547 4440.57142857143 46 0.000633646650400814 5.35473616301567e-05 5.54698573057215e-07 389
57298 4646.28571428571 51.5714285714286 0.000690937366065919 5.60280012115306e-05 6.21882561719424e-07 455
61913 4671.57142857143 65.2857142857143 0.000746588103341116 5.63329131600745e-05 7.87258533811016e-07 583
67366 5116 83.2857142857143 0.000812344001577659 6.16921282556676e-05 1.00431449718123e-06 732
73522 5287.71428571429 96.2857142857143 0.000886577141050273 6.37627732395644e-05 1.16107713739305e-06 872
79696 5344 109.142857142857 0.000961027336486256 6.44415037916903e-05 1.31611711122892e-06 1017
85778 5313.71428571429 119 0.00103436813477613 6.40762985199881e-05 1.43498109116975e-06 1158
91714 5595.28571428571 136.142857142857 0.00110594836802977 6.74716739469936e-05 1.64170105628424e-06 1342
95391 5441.85714285714 139.857142857143 0.00115028807788045 6.56215302592189e-05 1.68649038205905e-06 1434
99225 5330.28571428571 146.285714285714 0.00119652099807831 6.42761278195987e-05 1.76401036897698e-06 1607
103228 5123.14285714286 161.285714285714 0.00124479183259892 6.17782615744653e-05 1.94489033845216e-06 1861
108202 4954.28571428571 176.428571428571 0.00130477163047689 5.97420699180876e-05 2.12749297430329e-06 2107
113525 4832.71428571429 193.714285714286 0.00136895990231131 5.82760808321507e-05 2.33593560579374e-06 2373
117658 4554.28571428571 198 0.00141879836323404 5.49186040654162e-05 2.38761559707236e-06 2544
120479 4109.28571428571 190.142857142857 0.00145281585616 4.95524983043192e-05 2.29286894639488e-06 2673
123016 3946.42857142857 195 0.00148340868833057 4.75886586357315e-05 2.35143960317732e-06 2799
125098 3696.14285714286 194.571428571429 0.00150851482809373 4.457054714506e-05 2.34627160404946e-06 2969
