# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
1 0.142857142857143 0 2.24746868725489e-08 3.21066955322127e-09 0 0 1
2 0.285714285714286 0 4.49493737450978e-08 6.42133910644254e-09 0 0 1.84834008138958
8 1.14285714285714 0 1.79797494980391e-07 2.56853564257701e-08 0 0 7.56802097508166
9 1.28571428571429 0.142857142857143 2.0227218185294e-07 2.88960259789914e-08 3.21066955322127e-09 1 7.42025552995882
12 1.71428571428571 0.142857142857143 2.69696242470587e-07 3.85280346386552e-08 3.21066955322127e-09 1 9.29490018021674
19 2.71428571428571 0.142857142857143 4.27019050578429e-07 6.10027215112041e-08 3.21066955322127e-09 1 14.8852363753931
31 4.42857142857143 0.142857142857143 6.96715293049015e-07 9.95307561498593e-08 3.21066955322127e-09 1 24.6277426382041
34 4.71428571428571 0.285714285714286 7.64139353666662e-07 1.05952095256302e-07 6.42133910644254e-09 2 23.8927011941357
45 6.14285714285714 0.285714285714286 1.0113609092647e-06 1.38058790788515e-07 6.42133910644254e-09 2 31.26913607565
56 6.85714285714286 0.285714285714286 1.25858246486274e-06 1.54112138554621e-07 6.42133910644254e-09 2 37.5268614433987
65 8 0.142857142857143 1.46085464671568e-06 1.79797494980391e-07 3.21066955322127e-09 2 40.8355406911883
79 9.57142857142857 0.142857142857143 1.77550026293136e-06 2.15114860065825e-07 3.21066955322127e-09 2 48.6424259135502
97 11.1428571428571 0.142857142857143 2.18004462663724e-06 2.50432225151259e-07 3.21066955322127e-09 2 59.2653195584878
128 13.8571428571429 0.285714285714286 2.87675991968626e-06 3.11434946662463e-07 6.42133910644254e-09 3 81.2771460178269
158 17.7142857142857 0.142857142857143 3.55100052586272e-06 3.98123024599437e-07 3.21066955322127e-09 3 98.950660667876
225 25.7142857142857 0.285714285714286 5.0568045463235e-06 5.77920519579828e-07 6.42133910644254e-09 4 150.943811524539
266 30 0.285714285714286 5.978266708098e-06 6.74240606176466e-07 6.42133910644254e-09 4 169.05168535398
301 33.7142857142857 0.285714285714286 6.76488074863721e-06 7.5771801456022e-07 6.42133910644254e-09 4 178.413320512241
387 44 0.571428571428571 8.69770381967642e-06 9.88886222392151e-07 1.28426782128851e-08 6 237.35517084434
502 57.8571428571429 0.857142857142857 1.12822928100195e-05 1.30032116905461e-06 1.92640173193276e-08 8 316.357904952325
589 65.8571428571429 1.28571428571429 1.32375905679313e-05 1.48011866403501e-06 2.88960259789914e-08 12 355.379090835492
690 76 2 1.55075339420587e-05 1.70807620231372e-06 4.49493737450978e-08 17 402.482326843536
745 74.2857142857143 2.14285714285714 1.67436417200489e-05 1.66954816767506e-06 4.8160043298319e-08 19 396.441889912313
820 79.1428571428571 2.28571428571429 1.84292432354901e-05 1.77871093248458e-06 5.13707128515403e-08 20 411.31754515445
966 95 2.85714285714286 2.17105475188822e-05 2.13509525289214e-06 6.42133910644254e-08 24 494.937159733288
966 82.7142857142857 2.57142857142857 2.17105475188822e-05 1.85897767131511e-06 5.77920519579828e-08 24 419.875030370865
1133 90.1428571428571 3.28571428571429 2.54638202265979e-05 2.02593248808262e-06 7.38453997240892e-08 31 523.196817438272
1133 77.7142857142857 3.14285714285714 2.54638202265979e-05 1.74660423695237e-06 7.06347301708679e-08 34 443.848830688352
1265 82.1428571428571 2.85714285714286 2.84304788937743e-05 1.84613499310223e-06 6.42133910644254e-08 37 508.534753150826
1451 100.857142857143 3.42857142857143 3.26107706520684e-05 2.26673270457422e-06 7.70560692773104e-08 43 617.410413877402
1554 104.857142857143 3.71428571428571 3.4925663399941e-05 2.35663145206441e-06 8.3477408383753e-08 46 626.774000759529
1628 94.5714285714286 4.14285714285714 3.65887902285096e-05 2.12546324423248e-06 9.31094170434168e-08 53 605.717506817211
1715 107 5.14285714285714 3.85440879864213e-05 2.40479149536273e-06 1.15584103915966e-07 60 600.854439032406
1795 94.5714285714286 4.85714285714286 4.03420629362252e-05 2.12546324423248e-06 1.09162764809523e-07 65 589.728903712041
1894 108.714285714286 6.42857142857143 4.25670569366076e-05 2.44331953000139e-06 1.44480129894957e-07 79 599.29066617286
1975 101.428571428571 6.42857142857143 4.4387506573284e-05 2.2795753827871e-06 1.44480129894957e-07 82 589.4022925171
2137 98 6.57142857142857 4.8028405846637e-05 2.20251931350979e-06 1.47690799448178e-07 89 662.013588805161
2203 92.7142857142857 7 4.95117351802252e-05 2.0837245400406e-06 1.57322808107842e-07 95 627.612661807978
2272 92 6.42857142857143 5.10624885744311e-05 2.0676711922745e-06 1.44480129894957e-07 98 601.428976599311
2432 102.428571428571 6.42857142857143 5.46584384740389e-05 2.30205006965965e-06 1.44480129894957e-07 105 670.21630695831
2432 91 6.28571428571429 5.46584384740389e-05 2.04519650540195e-06 1.41269460341736e-07 109 568.571356393637
2560 95.1428571428571 5.14285714285714 5.75351983937251e-05 2.13830592244536e-06 1.15584103915966e-07 115 610.341870758761
