# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
1 0.142857142857143 0 7.90332026387606e-09 1.12904575198229e-09 0 0 1
1 0.142857142857143 0 7.90332026387606e-09 1.12904575198229e-09 0 0 0.848340081389579
1 0.142857142857143 0 7.90332026387606e-09 1.12904575198229e-09 0 0 0.719680893692078
1 0.142857142857143 0 7.90332026387606e-09 1.12904575198229e-09 0 0 0.610534147929263
1 0.142857142857143 0 7.90332026387606e-09 1.12904575198229e-09 0 0 0.517940588745428
1 0.142857142857143 0 7.90332026387606e-09 1.12904575198229e-09 0 0 0.439389761211263
1 0.142857142857143 0 7.90332026387606e-09 1.12904575198229e-09 0 0 0.372751945787711
1 0 0 7.90332026387606e-09 0 0 0 0.316220416027671
1 0 0 7.90332026387606e-09 0 0 0 0.268262453469961
2 0.142857142857143 0 1.58066405277521e-08 1.12904575198229e-09 0 0 1.22757779161047
2 0.142857142857143 0 1.58066405277521e-08 1.12904575198229e-09 0 0 1.04140344364687
3 0.285714285714286 0 2.37099607916282e-08 2.25809150396459e-09 0 0 1.88346428214277
3 0.285714285714286 0 2.37099607916282e-08 2.25809150396459e-09 0 0 1.59781824240737
4 0.428571428571429 0 3.16132810555042e-08 3.38713725594688e-09 0 0 2.35549325780962
7 0.857142857142857 0 5.53232418471324e-08 6.77427451189376e-09 0 0 4.99825934204282
11 1.42857142857143 0 8.69365229026366e-08 1.12904575198229e-08 0 0 8.24022373703483
14 1.71428571428571 0 1.10646483694265e-07 1.35485490237875e-08 0 0 9.99051207574447
15 1.85714285714286 0 1.18549803958141e-07 1.46775947757698e-08 0 0 9.47535182746064
19 2.28571428571429 0 1.50163085013645e-07 1.80647320317167e-08 0 0 12.0383207405029
20 2.42857142857143 0 1.58066405277521e-07 1.9193777783699e-08 0 0 11.2125899967921
20 2.28571428571429 0 1.58066405277521e-07 1.80647320317167e-08 0 0 9.51208951046656
25 2.57142857142857 0 1.97583006596901e-07 2.03228235356813e-08 0 0 13.0694867894942
25 2 0 1.97583006596901e-07 1.58066405277521e-08 0 0 11.0873694867195
25 1.57142857142857 0 1.97583006596901e-07 1.24195032718052e-08 0 0 9.40585993275997
25 1.42857142857143 0 1.97583006596901e-07 1.12904575198229e-08 0 0 7.97936798089658
25 0.857142857142857 0 1.97583006596901e-07 6.77427451189376e-09 0 0 6.76921768235121
25 0.714285714285714 0 1.97583006596901e-07 5.64522875991147e-09 0 0 5.7425986795896
25 0.714285714285714 0 1.97583006596901e-07 5.64522875991147e-09 0 0 4.87167663123073
25 0 0 1.97583006596901e-07 0 0 0 4.13283854984199
29 0.571428571428571 0.142857142857143 2.29196287652406e-07 4.51618300792917e-09 1.12904575198229e-09 1 7.50605259174295
30 0.714285714285714 0.142857142857143 2.37099607916282e-07 5.64522875991147e-09 1.12904575198229e-09 1 7.36768526659368
38 1.85714285714286 0.142857142857143 3.0032617002729e-07 1.46775947757698e-08 1.12904575198229e-09 1 14.2503027187149
52 3.85714285714286 0.142857142857143 4.10972653721555e-07 3.04842353035219e-08 1.12904575198229e-09 1 26.0891029682207
59 4.85714285714286 0.142857142857143 4.66295895568687e-07 3.8387555567398e-08 1.12904575198229e-09 1 29.1324317354415
59 4.85714285714286 0.142857142857143 4.66295895568687e-07 3.8387555567398e-08 1.12904575198229e-09 1 24.7142095095208
66 5.85714285714286 0.142857142857143 5.2161913741582e-07 4.6290875831274e-08 1.12904575198229e-09 1 27.966054506786
84 7.85714285714286 0 6.63878902165589e-07 6.20975163590262e-08 0 1 41.7247249564322
93 9 0 7.35008784540473e-07 7.11298823748845e-08 0 1 44.3967565654975
105 9.57142857142857 0 8.29848627706986e-07 7.56460653828137e-08 0 1 49.6635480782075
132 11.4285714285714 0 1.04323827483164e-06 9.03236601585835e-08 0 1 69.1315784187619
144 12.1428571428571 0 1.13807811799815e-06 9.5968888918495e-08 0 1 70.6470888623625
144 12.1428571428571 0 1.13807811799815e-06 9.5968888918495e-08 0 1 59.9327571154335
164 14 0 1.29614452327567e-06 1.10646483694265e-07 0 1 70.8433600492087
186 14.5714285714286 0.285714285714286 1.47001756908095e-06 1.15162666702194e-07 2.25809150396459e-09 3 82.099261830057
210 16.7142857142857 0.285714285714286 1.65969725541397e-06 1.32098352981928e-07 2.25809150396459e-09 3 93.6480944629349
230 17.8571428571429 0.285714285714286 1.81776366069149e-06 1.41130718997787e-07 2.25809150396459e-09 3 99.4454320786652
239 15.2857142857143 0.571428571428571 1.88889354306638e-06 1.20807895462105e-07 4.51618300792917e-09 5 93.3635459434368
254 15.7142857142857 0.714285714285714 2.00744334702452e-06 1.24195032718052e-07 5.64522875991147e-09 6 94.2040381644749
254 15.7142857142857 0.714285714285714 2.00744334702452e-06 1.24195032718052e-07 5.64522875991147e-09 6 79.9170614036777
268 14.8571428571429 0.714285714285714 2.11808983071878e-06 1.17420758206159e-07 5.64522875991147e-09 6 81.7968463756119
317 18.7142857142857 0.428571428571429 2.50535252364871e-06 1.47904993509681e-07 3.38713725594688e-09 6 118.391543311698
349 19.8571428571429 0.428571428571429 2.75825877209274e-06 1.56937359525539e-07 3.38713725594688e-09 6 132.436291488883
408 25.4285714285714 0.428571428571429 3.22455466766143e-06 2.00970143852848e-07 3.38713725594688e-09 6 171.351014300613
455 30.8571428571429 0.142857142857143 3.59601072006361e-06 2.43873882428175e-07 1.12904575198229e-09 6 192.363933417969
488 33.4285714285714 0.142857142857143 3.85682028877152e-06 2.64196705963857e-07 1.12904575198229e-09 7 196.19003493222
514 37.1428571428571 0.428571428571429 4.06230661563229e-06 2.93551895515396e-07 3.38713725594688e-09 9 192.435870202224
568 42.8571428571429 0.857142857142857 4.4890859098816e-06 3.38713725594688e-07 6.77427451189376e-09 12 217.251061789629
619 43.1428571428571 1.28571428571429 4.89215524333928e-06 3.40971817098653e-07 1.01614117678406e-08 15 235.302783440586
675 46.5714285714286 1.85714285714286 5.33474117811634e-06 3.68068915146228e-07 1.46775947757698e-08 19 255.616782455182
737 47 2.14285714285714 5.82474703447665e-06 3.71456052402175e-07 1.69356862797344e-08 21 278.849962032571
780 46.4285714285714 2.28571428571429 6.16458980582332e-06 3.66939869394246e-07 1.80647320317167e-08 22 279.559599486193
814 46.5714285714286 2.42857142857143 6.43330269479511e-06 3.68068915146228e-07 1.9193777783699e-08 24 271.161613381355
824 44.2857142857143 2.71428571428571 6.51233589743387e-06 3.50004183114511e-07 2.14518692876636e-08 28 240.037265165668
829 37.2857142857143 2.28571428571429 6.55185249875325e-06 2.94680941267379e-07 1.80647320317167e-08 28 208.633233067175
873 36.2857142857143 2 6.8995985903638e-06 2.86777621003503e-07 1.58066405277521e-08 29 220.991933920778
950 39.2857142857143 2 7.50815425068225e-06 3.10487581795131e-07 1.58066405277521e-08 33 264.476315208794
1007 38.5714285714286 2 7.95864350572319e-06 3.04842353035219e-07 1.58066405277521e-08 35 281.365858769844
1046 38 2 8.26687299601436e-06 3.0032617002729e-07 1.58066405277521e-08 36 277.693935529058
1089 39.2857142857143 2.42857142857143 8.60671576736103e-06 3.10487581795131e-07 1.9193777783699e-08 41 278.578895868114
1128 43.4285714285714 2 8.91494525765219e-06 3.43229908602617e-07 1.58066405277521e-08 42 275.329643194175
1193 52 2.14285714285714 9.42866107480414e-06 4.10972653721555e-07 1.69356862797344e-08 43 298.57317191631
1268 56.4285714285714 2.28571428571429 1.00214100945948e-05 4.45973072033006e-07 1.80647320317167e-08 45 328.291588964227
1364 59.1428571428571 1.85714285714286 1.07801288399269e-05 4.6742494132067e-07 1.46775947757698e-08 46 374.502913301427
1499 70.2857142857143 2 1.18470770755502e-05 5.55490509975289e-07 1.58066405277521e-08 49 452.705831950767
1693 92.4285714285714 2.28571428571429 1.33803212067422e-05 7.30492601532544e-07 1.80647320317167e-08 52 578.048502322651
1866 111 1.85714285714286 1.47475956123927e-05 8.77268549290242e-07 1.46775947757698e-08 54 663.381713507522
1953 117.857142857143 2 1.54351844753499e-05 9.31462745385392e-07 1.58066405277521e-08 56 649.77329682933
