# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
2 0.285714285714286 0 1.38429332344948e-08 1.97756189064211e-09 0 0 2
2 0.285714285714286 0 1.38429332344948e-08 1.97756189064211e-09 0 0 1.69668016277916
2 0.285714285714286 0 1.38429332344948e-08 1.97756189064211e-09 0 0 1.43936178738416
2 0.285714285714286 0 1.38429332344948e-08 1.97756189064211e-09 0 0 1.22106829585853
2 0.285714285714286 0 1.38429332344948e-08 1.97756189064211e-09 0 0 1.03588117749086
2 0.285714285714286 0 1.38429332344948e-08 1.97756189064211e-09 0 0 0.878779522422527
2 0.285714285714286 0 1.38429332344948e-08 1.97756189064211e-09 0 0 0.745503891575422
2 0 0 1.38429332344948e-08 0 0 0 0.632440832055342
2 0 0 1.38429332344948e-08 0 0 0 0.536524906939922
2 0 0 1.38429332344948e-08 0 0 0 0.45515558322095
2 0 0 1.38429332344948e-08 0 0 0 0.386126724514582
2 0 0 1.38429332344948e-08 0 0 0 0.327566776901392
2 0 0 1.38429332344948e-08 0 0 0 0.277888026177049
2 0 0 1.38429332344948e-08 0 0 0 0.235743550744228
2 0 0 1.38429332344948e-08 0 0 0 0.199990703025426
2 0 0 1.38429332344948e-08 0 0 0 0.16966012928175
2 0 0 1.38429332344948e-08 0 0 0 0.143929487883446
2 0 0 1.38429332344948e-08 0 0 0 0.122101153465403
2 0 0 1.38429332344948e-08 0 0 0 0.103583302468602
2 0 0 1.38429332344948e-08 0 0 0 0.0878738672468148
2 0 0 1.38429332344948e-08 0 0 0 0.07454692369218
2 0 0 1.38429332344948e-08 0 0 0 0.0632411433123667
2 0 0 1.38429332344948e-08 0 0 0 0.0536499966647833
2 0 0 1.38429332344948e-08 0 0 0 0.0455134425371529
2 0 0 1.38429332344948e-08 0 0 0 0.0386108775462882
2 0 0 1.38429332344948e-08 0 0 0 0.0327551550001412
2 0 0 1.38429332344948e-08 0 0 0 0.0277875108587481
2 0 0 1.38429332344948e-08 0 0 0 0.0235732592235242
2 0 0 1.38429332344948e-08 0 0 0 0.0199981406483022
2 0 0 1.38429332344948e-08 0 0 0 0.0169652242652209
2 0 0 1.38429332344948e-08 0 0 0 0.01439227973395
3 0.142857142857143 0 2.07643998517422e-08 9.88780945321056e-10 0 0 1.01220954776088
4 0.285714285714286 0 2.76858664689896e-08 1.97756189064211e-09 0 0 1.85869793013077
4 0.285714285714286 0 2.76858664689896e-08 1.97756189064211e-09 0 0 1.57680795332578
4 0.285714285714286 0 2.76858664689896e-08 1.97756189064211e-09 0 0 1.33766938746013
10 1.14285714285714 0 6.9214666172474e-08 7.91024756256845e-09 0 0 7.13479855703028
10 1.14285714285714 0 6.9214666172474e-08 7.91024756256845e-09 0 0 6.05273558856932
10 1.14285714285714 0 6.9214666172474e-08 7.91024756256845e-09 0 0 5.1347782018365
10 1 0 6.9214666172474e-08 6.9214666172474e-09 0 0 4.35603815766341
10 0.857142857142857 0 6.9214666172474e-08 5.93268567192634e-09 0 0 3.69540176520829
25 3 0 1.73036665431185e-07 2.07643998517422e-08 0 0 18.134957434264
30 3.71428571428571 0 2.07643998517422e-07 2.57083045783475e-08 0 0 20.3846112657801
45 5 0 3.11465997776133e-07 3.4607333086237e-08 0 0 32.2930827803068
59 7 0 4.08366530417596e-07 4.84502663207318e-08 0 0 41.3955164741659
63 7.57142857142857 0 4.36052396886586e-07 5.2405390102016e-08 0 0 39.1174758148576
93 11.8571428571429 0 6.43696395404008e-07 8.20688184616477e-08 0 0 63.1849226165312
114 14.8571428571429 0 7.89047194366203e-07 1.0283321831339e-07 0 0 74.6023023951023
147 17.4285714285714 0 1.01745559273537e-06 1.20631275329169e-07 0 0 96.2881232857111
199 24.1428571428571 0 1.37737185683223e-06 1.67103979759259e-07 0 0 133.68507434505
253 29.7142857142857 0 1.75113105416359e-06 2.0566643662678e-07 0 0 167.410406850452
306 35.2857142857143 0 2.1179687848777e-06 2.44228893494301e-07 0 0 195.020958172975
438 53.5714285714286 0 3.03160237835436e-06 3.70792854495396e-07 0 0 297.444095529135
438 49.2857142857143 0 3.03160237835436e-06 3.41129426135764e-07 0 0 252.333748210036
495 54.4285714285714 0 3.42612597553746e-06 3.76725540167322e-07 0 0 271.06483249384
658 73 0 4.55432503414879e-06 5.0526706305906e-07 0 0 392.955162059677
840 91.5714285714286 0.285714285714286 5.81403195848781e-06 6.33808585950797e-07 1.97756189064211e-09 2 515.359614164162
1036 111.857142857143 0.571428571428571 7.1706394154683e-06 7.74215480186387e-07 3.95512378128423e-09 4 633.200217024927
1264 136.857142857143 0.714285714285714 8.74873380420071e-06 9.47252145617572e-07 4.94390472660528e-09 5 765.169123646826
1534 156.571428571429 1.14285714285714 1.06175297908575e-05 1.08370391607188e-06 7.91024756256845e-09 8 919.123636631341
1836 199.714285714286 1.42857142857143 1.27078127092662e-05 1.38231576155884e-06 9.88780945321056e-09 10 1081.72942070692
2337 263.142857142857 2.42857142857143 1.61754674845072e-05 1.82133450128139e-06 1.6809276070458e-08 17 1418.67442480401
2777 302.714285714286 3.42857142857143 1.9220912796096e-05 2.09522682313532e-06 2.37307426877054e-08 24 1643.51837700355
3548 386.857142857143 4 2.45573635579938e-05 2.67761879992942e-06 2.76858664689896e-08 30 2165.26251371246
4149 444.714285714286 4.28571428571429 2.87171649949594e-05 3.07807508278445e-06 2.96634283596317e-08 34 2437.87897711263
4731 495.285714285714 5.42857142857143 3.27454585661974e-05 3.4281035374281e-06 3.75736759222001e-08 43 2650.15044986168
5389 550.714285714286 5.28571428571429 3.72997836003462e-05 3.81175054421267e-06 3.65848949768791e-08 45 2906.22884833028
6343 643.857142857143 5.28571428571429 4.39028627532002e-05 4.456435720562e-06 3.65848949768791e-08 47 3419.47041772926
7497 737.142857142857 5.85714285714286 5.18902352295037e-05 5.10210967785665e-06 4.05400187581633e-08 58 4054.8738124857
8672 842.142857142857 5.57142857142857 6.00229585047694e-05 5.82886367266763e-06 3.85624568675212e-08 63 4614.91198010859
10131 940.428571428571 6.57142857142857 7.01213782993334e-05 6.50914496304851e-06 4.54839234847686e-08 76 5374.01480481107
11917 1109.71428571429 8.57142857142857 8.24831176777372e-05 7.68085038325397e-06 5.93268567192634e-08 94 6344.99215690223
13584 1264.71428571429 9 9.40212025286886e-05 8.75367770892731e-06 6.22931995552266e-08 106 7049.71116280268
15770 1483 12.1428571428571 0.000109151528553991 1.02645349933779e-05 8.40463803522898e-08 130 8166.55254162505
18328 1712.14285714286 14.4285714285714 0.00012685664016091 1.18505396296729e-05 9.98668754774267e-08 148 9486.01384783447
21102 1943.57142857143 16 0.000146056788557155 1.3452364761093e-05 1.10743465875958e-07 170 10821.3657597346
24490 2259.71428571429 19.2857142857143 0.000169506717456389 1.56405369930885e-05 1.33485427618343e-07 198 12568.1983093596
27938 2543.85714285714 22.2857142857143 0.000193371934352658 1.7607222293332e-05 1.54249827470085e-07 232 14110.1063766825
32008 2870.14285714286 25.5714285714286 0.000221542303484855 1.98655979724453e-05 1.76991789212469e-07 273 16040.1687920105
36793 3315.57142857143 29.5714285714286 0.000254661521248383 2.29486169599564e-05 2.04677655681459e-07 313 18392.5180985168
42853 3869 33 0.000296605608948903 2.67791543421302e-05 2.28408398369164e-07 361 21663.110300655
47121 4113.28571428571 36.7142857142857 0.000326146428471315 2.84699697586292e-05 2.54116702947511e-07 405 22645.6847556091
52763 4523 40.8571428571429 0.000365197343125824 3.130579350981e-05 2.82791350361822e-07 456 24853.2420486962
