# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
1 0.142857142857143 0 9.82011995276522e-08 1.40287427896646e-08 0 0 1
1 0.142857142857143 0 9.82011995276522e-08 1.40287427896646e-08 0 0 0.848340081389579
1 0.142857142857143 0 9.82011995276522e-08 1.40287427896646e-08 0 0 0.719680893692078
1 0.142857142857143 0 9.82011995276522e-08 1.40287427896646e-08 0 0 0.610534147929263
1 0.142857142857143 0 9.82011995276522e-08 1.40287427896646e-08 0 0 0.517940588745428
1 0.142857142857143 0 9.82011995276522e-08 1.40287427896646e-08 0 0 0.439389761211263
1 0.142857142857143 0 9.82011995276522e-08 1.40287427896646e-08 0 0 0.372751945787711
1 0 0 9.82011995276522e-08 0 0 0 0.316220416027671
1 0 0 9.82011995276522e-08 0 0 0 0.268262453469961
1 0 0 9.82011995276522e-08 0 0 0 0.227577791610475
1 0 0 9.82011995276522e-08 0 0 0 0.193063362257291
1 0 0 9.82011995276522e-08 0 0 0 0.163783388450696
1 0 0 9.82011995276522e-08 0 0 0 0.138944013088525
1 0 0 9.82011995276522e-08 0 0 0 0.117871775372114
1 0 0 9.82011995276522e-08 0 0 0 0.0999953515127132
1 0 0 9.82011995276522e-08 0 0 0 0.0848300646408748
1 0 0 9.82011995276522e-08 0 0 0 0.071964743941723
1 0 0 9.82011995276522e-08 0 0 0 0.0610505767327015
1 0 0 9.82011995276522e-08 0 0 0 0.0517916512343008
1 0 0 9.82011995276522e-08 0 0 0 0.0439369336234074
1 0 0 9.82011995276522e-08 0 0 0 0.03727346184609
1 0 0 9.82011995276522e-08 0 0 0 0.0316205716561834
1 0 0 9.82011995276522e-08 0 0 0 0.0268249983323916
1 0 0 9.82011995276522e-08 0 0 0 0.0227567212685764
1 0 0 9.82011995276522e-08 0 0 0 0.0193054387731441
1 0 0 9.82011995276522e-08 0 0 0 0.0163775775000706
2 0.142857142857143 0 1.96402399055304e-07 1.40287427896646e-08 0 0 1.01389375542937
7 0.857142857142857 0 6.87408396693566e-07 8.41724567379876e-08 0 0 5.86012671100134
12 1.57142857142857 0 1.17841439433183e-06 1.54316170686311e-07 0 0 9.97138037096413
13 1.71428571428571 0 1.27661559385948e-06 1.68344913475975e-07 0 0 9.45912163547016
14 1.85714285714286 0 1.37481679338713e-06 1.8237365626564e-07 0 0 9.02455201810869
15 2 0 1.47301799291478e-06 1.96402399055304e-07 0 0 8.65588919354682
24 3.28571428571429 0 2.35682878866365e-06 3.22661084162286e-07 0 0 16.3431377429527
35 4.71428571428571 0 3.43704198346783e-06 4.62948512058932e-07 0 0 24.8645388030176
61 7.71428571428571 0 5.99027317118679e-06 7.57552110641889e-07 0 0 47.0935848718663
137 17.8571428571429 0 1.34535643352884e-05 1.75359284870808e-06 0 0 115.951375623126
161 21.1428571428571 0 1.5810393123952e-05 2.07625393287036e-06 0 0 122.366199433357
203 27 0 1.99348435041134e-05 2.65143238724661e-06 0 0 145.808151586627
248 33.2857142857143 0 2.43538974828578e-05 3.26869706999185e-06 0 0 168.694899184263
326 43.1428571428571 0 3.20135910460146e-05 4.23668032247871e-06 0 0 221.110644503985
462 61 0.142857142857143 4.53689541817753e-05 5.99027317118679e-06 1.40287427896646e-08 1 323.577022154613
620 79.8571428571429 0.142857142857143 6.08847437071444e-05 7.84206721942251e-06 1.40287427896646e-08 1 432.503357310442
775 91.1428571428571 0.142857142857143 7.61059296339305e-05 8.95033789980602e-06 1.40287427896646e-08 1 521.909933342007
924 109 0.142857142857143 9.07379083635507e-05 1.07039307485141e-05 1.40287427896646e-08 1 591.757115329388
1032 118.428571428571 0.428571428571429 0.000101343637912537 1.1629827772632e-05 4.20862283689938e-08 3 610.011279381396
1121 124.714285714286 1 0.000110083544670498 1.22470924553772e-05 9.82011995276522e-08 7 606.497018398975
1167 120.142857142857 1.14285714285714 0.00011460079984877 1.17981726861079e-05 1.12229942317317e-07 8 560.515729951123
1301 119.857142857143 1.28571428571429 0.000127759760585476 1.17701152005286e-05 1.26258685106981e-07 10 609.507959966876
1423 114.714285714286 1.28571428571429 0.000139740306927849 1.12650804601007e-05 1.26258685106981e-07 10 639.070032365896
1623 121.142857142857 2.14285714285714 0.00015938054683338 1.18963738856356e-05 2.10431141844969e-07 16 742.148723270925
1746 117.428571428571 2.71428571428571 0.000171459294375281 1.15316265731043e-05 2.66546113003628e-07 20 752.594508302829
1906 124.857142857143 2.57142857142857 0.000187171486299705 1.22611211981669e-05 2.52517370213963e-07 21 798.456086426973
2016 127.857142857143 2.57142857142857 0.000197973618247747 1.25557247967498e-05 2.52517370213963e-07 25 787.362301345463
2272 157.857142857143 4 0.000223113125326826 1.55017607825794e-05 3.92804798110609e-07 36 923.950998806497
2510 172.714285714286 4.57142857142857 0.000246485010814407 1.69607500327045e-05 4.48919769269267e-07 42 1021.82466552749
2806 197.571428571429 8 0.000275552565874592 1.94017512781061e-05 7.85609596221218e-07 66 1162.85481991947
3046 203.285714285714 10.8571428571429 0.000299120853761229 1.99629009896927e-05 1.06618445201451e-06 92 1226.49635257475
3447 243 11.7142857142857 0.000338499534771817 2.38628914852195e-05 1.1503569087525e-06 102 1441.48601556728
3700 256.285714285714 12.7142857142857 0.000363344438252313 2.51675645646583e-05 1.24855810828015e-06 110 1475.87036376829
4028 287.428571428571 17.2857142857143 0.000395554431697383 2.82258304928052e-05 1.69747787754942e-06 146 1580.03998451966
4435 309 20.5714285714286 0.000435522319905138 3.03441706540445e-05 2.0201389617117e-06 180 1747.4112490662
4947 348.142857142857 28.1428571428571 0.000485801334063296 3.41880461784126e-05 2.76366232956393e-06 239 1994.39900125388
5466 380 30.8571428571429 0.000536767756618147 3.73164558205079e-05 3.03020844256755e-06 282 2210.92861104702
6078 433.142857142857 34.4285714285714 0.00059686689072907 4.25351481382631e-05 3.38092701230917e-06 333 2487.61935784218
6443 428 38.7142857142857 0.000632710328556663 4.20301133978352e-05 3.80178929599911e-06 373 2475.34720849812
6830 447.142857142857 41.5714285714286 0.000670714192773865 4.39099649316502e-05 4.0823641517924e-06 401 2486.93625232477
7206 454 47.2857142857143 0.000707637843796262 4.45833445855541e-05 4.64351386337898e-06 477 2485.76770270789
7693 465.428571428571 58.7142857142857 0.000755461827966229 4.57056440087273e-05 5.76581328655215e-06 591 2595.7763752308
8419 496 64 0.000826755898823304 4.87077949657155e-05 6.28487676976974e-06 687 2928.10114143244
9141 525 73 0.000897657164882269 5.15556297520174e-05 7.16868756551861e-06 793 3206.02556063972
9685 515.285714285714 76.7142857142857 0.000951078617425312 5.06016752423202e-05 7.53343487804989e-06 870 3263.79998505017
10151 529.714285714286 73.4285714285714 0.000996840376405198 5.20185782640763e-05 7.21077379388761e-06 887 3234.81234495677
10483 521.857142857143 71.1428571428571 0.00102944317464838 5.12469974106448e-05 6.98631390925297e-06 899 3076.22096800064
10948 534.571428571429 63.1428571428571 0.00107510673242874 5.24955555189249e-05 6.20070431303176e-06 919 3074.681546366
11445 536 63.1428571428571 0.00112391272859398 5.26358429468216e-05 6.20070431303176e-06 1033 3105.37559329117
11927 501.142857142857 73.7142857142857 0.00117124570676631 4.92128297061434e-05 7.23883127946694e-06 1203 3116.41458355784
12540 485.571428571429 77.1428571428571 0.00123144304207676 4.768369674207e-05 7.57552110641889e-06 1333 3256.77940145913
13216 504.428571428571 75.7142857142857 0.00129782705295745 4.95354907903057e-05 7.43523367852224e-06 1400 3438.85650250175
