# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
1 0.142857142857143 0 2.24102110244075e-08 3.2014587177725e-09 0 0 1
3 0.428571428571429 0 6.72306330732225e-08 9.6043761533175e-09 0 0 2.84834008138958
3 0.428571428571429 0 6.72306330732225e-08 9.6043761533175e-09 0 0 2.41636105647124
5 0.714285714285714 0 1.12051055122037e-07 1.60072935888625e-08 0 0 4.04989593531342
14 2 0 3.13742954341705e-07 4.4820422048815e-08 0 0 12.4356890473831
19 2.71428571428571 0.285714285714286 4.25794009463742e-07 6.08277156376775e-08 6.402917435545e-09 2 15.5496934585925
26 3.71428571428571 0.285714285714286 5.82665486634595e-07 8.3237926662085e-08 6.402917435545e-09 2 20.1914282142454
26 3.57142857142857 0.428571428571429 5.82665486634595e-07 8.00364679443125e-08 9.6043761533175e-09 3 17.1291978546448
41 5.42857142857143 0.428571428571429 9.18818652000707e-07 1.21655431275355e-07 9.6043761533175e-09 3 29.5313851021475
47 6.28571428571429 0.428571428571429 1.05327991814715e-06 1.4086418358199e-07 9.6043761533175e-09 3 31.0526576411029
73 9.71428571428571 0.428571428571429 1.63594540478175e-06 2.1769919280853e-07 9.6043761533175e-09 3 52.3432141106159
84 10 0.428571428571429 1.88245772605023e-06 2.24102110244075e-07 9.6043761533175e-09 3 55.4048465187921
113 13.4285714285714 0.285714285714286 2.53235384575805e-06 3.00937119470615e-07 6.402917435545e-09 4 76.0021520051293
156 18.5714285714286 0.428571428571429 3.49599291980757e-06 4.16189633310425e-07 9.6043761533175e-09 5 107.475671817815
218 27.4285714285714 0.285714285714286 4.88542600332083e-06 6.1468007381232e-07 6.402917435545e-09 5 153.175920177325
311 38.5714285714286 0.714285714285714 6.96957562859073e-06 8.64393853798575e-07 1.60072935888625e-08 8 222.945272590155
418 53 0.857142857142857 9.36746820820233e-06 1.1877411842936e-06 1.9208752306635e-08 9 296.133410694554
480 58.1428571428571 1.14285714285714 1.07569012917156e-05 1.30299369813341e-06 2.561166974218e-08 11 313.221841730792
549 66.4285714285714 1.42857142857143 1.23032058523997e-05 1.48867830376421e-06 3.2014587177725e-08 13 334.718642706894
794 97.2857142857143 2.28571428571429 1.77937075533796e-05 2.18019338680307e-06 5.122333948436e-08 20 528.955240596576
804 92.5714285714286 2.14285714285714 1.80178096636236e-05 2.07454524911658e-06 4.80218807665875e-08 20 458.733931859144
987 109.857142857143 2.57142857142857 2.21188782810902e-05 2.46192175396705e-06 5.7626256919905e-08 23 572.162381089548
1096 112.142857142857 2.85714285714286 2.45615912827506e-05 2.51314509345141e-06 6.402917435545e-08 28 594.388280941562
1251 119 3.28571428571429 2.80351739915338e-05 2.66681511190449e-06 7.36335505087675e-08 32 659.243402630977
1319 119.857142857143 3.85714285714286 2.95590683411935e-05 2.68602386421113e-06 8.64393853798575e-08 38 627.262601843506
1462 130.428571428571 4.57142857142857 3.27637285176838e-05 2.92293180932629e-06 1.0244667896872e-07 45 675.13200670056
1668 124.857142857143 4.57142857142857 3.73802319887117e-05 2.79807491933316e-06 1.0244667896872e-07 52 778.741541513063
1892 155.428571428571 5.28571428571429 4.2400119258179e-05 3.48318708493648e-06 1.18453972557582e-07 57 884.637662708638
2203 173.714285714286 6.57142857142857 4.93696948867697e-05 3.89297380081136e-06 1.47267101017535e-07 69 1061.47358678253
2511 202.142857142857 6.42857142857143 5.62720398822872e-05 4.53006408564809e-06 1.44065642299762e-07 73 1208.49058900398
2777 218 7.28571428571429 6.22331560147796e-05 4.88542600332083e-06 1.63274394606397e-07 83 1291.21100463418
3102 254.714285714286 7.85714285714286 6.95164745977121e-05 5.70820089378837e-06 1.76080229477487e-07 93 1420.38604876248
3372 272.857142857143 7.57142857142857 7.55672315743021e-05 6.11478615094547e-06 1.69677312041942e-07 98 1474.97041621179
4161 356.142857142857 9.14285714285714 9.32488880725596e-05 7.98123658340684e-06 2.0489335793744e-07 116 2040.27652293633
4462 367.142857142857 9.71428571428571 9.99943615909063e-05 8.22774890467533e-06 2.1769919280853e-07 125 2031.84835152505
5106 414.714285714286 9.14285714285714 0.000114426537490625 9.29383465769357e-06 2.0489335793744e-07 133 2367.69839590405
5449 419.714285714286 9.71428571428571 0.000122113239871996 9.4058857128156e-06 2.1769919280853e-07 141 2351.61344988722
5710 419 9.71428571428571 0.000127962304949367 9.38987841922674e-06 2.1769919280853e-07 151 2255.96794547415
6125 431.857142857143 9.71428571428571 0.000137262542524496 9.67800970382627e-06 2.1769919280853e-07 161 2328.82803047582
6592 460 10.8571428571429 0.000147728111072894 1.03086970712274e-05 2.4331086255071e-07 174 2442.63816091619
7170 429.857142857143 10.1428571428571 0.000160681213045002 9.63318928177745e-06 2.27303568961847e-07 187 2650.18785623694
7647 455 9.71428571428571 0.000171370883703644 1.01966460161054e-05 2.1769919280853e-07 193 2725.26058165772
8125 431.285714285714 9.71428571428571 0.000182082964573311 9.66520386895518e-06 2.1769919280853e-07 201 2789.94778365132
8617 452.571428571429 9.71428571428571 0.000193108788397319 1.01422212179033e-05 2.1769919280853e-07 209 2858.82452985544
9009 471.285714285714 9.85714285714286 0.000201893591118887 1.05616123099315e-05 2.20900651526302e-07 220 2817.25543433609
9009 412 8.42857142857143 0.000201893591118887 9.23300694205589e-06 1.88886064348577e-07 220 2389.99070445991
9410 402.571428571429 9.28571428571429 0.000210880085739675 9.0217106666829e-06 2.08094816655212e-07 239 2428.52490874186
9866 385.142857142857 9 0.000221099141966804 8.63113270311466e-06 2.01691899219667e-07 250 2516.21501873869
9866 317 8.14285714285714 0.000221099141966804 7.10403689473718e-06 1.82483146913032e-07 250 2134.60605379046
11411 469.428571428571 11.1428571428571 0.000255722917999514 1.05199933466004e-05 2.49713779986255e-07 279 3355.87187340729
11411 399.142857142857 10 0.000255722917999514 8.94487565745637e-06 2.24102110244075e-07 279 2846.92061821934
11913 414.857142857143 9.71428571428571 0.000266972843933767 9.29703611641134e-06 2.1769919280853e-07 288 2917.15686896987
12331 474.571428571429 11.8571428571429 0.000276340312141969 1.06352458604402e-05 2.65721073575117e-07 303 2892.74109564807
12697 469.571428571429 11 0.000284542449376902 1.05231948053182e-05 2.46512321268483e-07 316 2820.02821652106
13184 474 11 0.000295456222145788 1.06224400255692e-05 2.46512321268483e-07 327 2879.34296672439
13691 546.428571428571 12.8571428571429 0.000306818199135163 1.22455795954798e-05 2.88131284599525e-07 340 2949.66204673948
14195 397.714285714286 11.7142857142857 0.000318112945491464 8.91286107027864e-06 2.62519614857345e-07 361 3006.31654080272
