# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1 0.142857142857143 0 1.93666126105775e-08 2.76665894436822e-09 0 0
1 0.142857142857143 0 1.93666126105775e-08 2.76665894436822e-09 0 0
1 0.142857142857143 0 1.93666126105775e-08 2.76665894436822e-09 0 0
1 0.142857142857143 0 1.93666126105775e-08 2.76665894436822e-09 0 0
2 0.285714285714286 0 3.87332252211551e-08 5.53331788873644e-09 0 0
2 0.285714285714286 0 3.87332252211551e-08 5.53331788873644e-09 0 0
3 0.428571428571429 0 5.80998378317326e-08 8.29997683310466e-09 0 0
4 0.428571428571429 0 7.74664504423102e-08 8.29997683310466e-09 0 0
4 0.428571428571429 0 7.74664504423102e-08 8.29997683310466e-09 0 0
4 0.428571428571429 0 7.74664504423102e-08 8.29997683310466e-09 0 0
4 0.428571428571429 0 7.74664504423102e-08 8.29997683310466e-09 0 0
7 0.714285714285714 0 1.35566288274043e-07 1.38332947218411e-08 0 0
12 1.42857142857143 0 2.32399351326931e-07 2.76665894436822e-08 0 0
15 1.71428571428571 0 2.90499189158663e-07 3.31999073324186e-08 0 0
15 1.57142857142857 0 2.90499189158663e-07 3.04332483880504e-08 0 0
16 1.71428571428571 0 3.09865801769241e-07 3.31999073324186e-08 0 0
18 2 0 3.48599026990396e-07 3.87332252211551e-08 0 0
23 2.71428571428571 0 4.45432090043284e-07 5.25665199429962e-08 0 0
24 2.42857142857143 0 4.64798702653861e-07 4.70332020542598e-08 0 0
24 1.71428571428571 0 4.64798702653861e-07 3.31999073324186e-08 0 0
25 1.42857142857143 0 4.84165315264439e-07 2.76665894436822e-08 0 0
27 1.71428571428571 0 5.22898540485594e-07 3.31999073324186e-08 0 0
28 1.71428571428571 0 5.42265153096171e-07 3.31999073324186e-08 0 0
28 1.42857142857143 0 5.42265153096171e-07 2.76665894436822e-08 0 0
28 0.714285714285714 0 5.42265153096171e-07 1.38332947218411e-08 0 0
28 0.571428571428571 0 5.42265153096171e-07 1.10666357774729e-08 0 0
28 0.571428571428571 0 5.42265153096171e-07 1.10666357774729e-08 0 0
29 0.571428571428571 0 5.61631765706749e-07 1.10666357774729e-08 0 0
30 0.428571428571429 0 5.80998378317326e-07 8.29997683310466e-09 0 0
31 0.428571428571429 0 6.00364990927904e-07 8.29997683310466e-09 0 0
46 2.57142857142857 0 8.90864180086567e-07 4.9799860998628e-08 0 0
80 7.42857142857143 0 1.5493290088462e-06 1.43866265107148e-07 0 0
155 18.1428571428571 0.142857142857143 3.00182495463952e-06 3.51365685934764e-07 2.76665894436822e-09 1
345 45.2857142857143 0.285714285714286 6.68148135064925e-06 8.77030885364726e-07 5.53331788873644e-09 2
601 81.7142857142857 0.714285714285714 1.16393341789571e-05 1.58252891617862e-06 1.38332947218411e-08 5
762 104.571428571429 1 1.47573588092601e-05 2.02519434727754e-06 1.93666126105775e-08 7
892 123 1.14285714285714 1.72750184486352e-05 2.38209335110104e-06 2.21332715549458e-08 8
1146 157.142857142857 1.57142857142857 2.21941380517219e-05 3.04332483880504e-06 3.04332483880504e-08 11
1595 216.428571428571 1.71428571428571 3.08897471138712e-05 4.19148830071785e-06 3.31999073324186e-08 12
2022 266.714285714286 1.71428571428571 3.91592906985878e-05 5.16535224913547e-06 3.31999073324186e-08 13
2931 369.428571428571 2 5.67635415616028e-05 7.15458003013622e-06 3.87332252211551e-08 16
3526 417.857142857143 1.71428571428571 6.82866760648964e-05 8.09247741227705e-06 3.31999073324186e-08 17
4212 492.857142857143 2.14285714285714 8.15721723157526e-05 9.54497335807036e-06 4.14998841655233e-08 22
4812 560 2.85714285714286 9.31921398820992e-05 1.08453030619234e-05 5.53331788873644e-08 28
5328 597.428571428571 3 0.000103185311989157 1.15701677053479e-05 5.80998378317326e-08 32
5766 595.857142857143 3.28571428571429 0.00011166788831259 1.15397344569599e-05 6.36331557204691e-08 35
6284 608.857142857143 4.14285714285714 0.000121699793644869 1.17915004208974e-05 8.02331093866784e-08 42
6767 548 4 0.000131053867535778 1.06129037105965e-05 7.74664504423102e-08 44
7134 515.428571428571 4.71428571428571 0.00013816141436386 9.98210547128054e-06 9.12997451641513e-08 50
7382 452.857142857143 4.14285714285714 0.000142964334291283 8.77030885364726e-06 8.02331093866784e-08 51
7513 385.857142857143 3.71428571428571 0.000145501360543269 7.47274580873857e-06 7.19331325535738e-08 54
7755 346.714285714286 4 0.000150188080795029 6.71468125798167e-06 7.74664504423102e-08 60
7869 300.428571428571 4.42857142857143 0.000152395874632635 5.81828376000637e-06 8.57664272754149e-08 66
7979 242.142857142857 3.57142857142857 0.000154526202019798 4.68948691070414e-06 6.91664736092055e-08 67
8086 188.428571428571 4 0.00015659842956913 3.64922314762168e-06 7.74664504423102e-08 72
8162 146.857142857143 3.57142857142857 0.000158070292127534 2.84412539481053e-06 6.91664736092055e-08 75
8236 122 3.42857142857143 0.000159503421460717 2.36272673849046e-06 6.63998146648373e-08 75
8320 115.285714285714 3.85714285714286 0.000161130216920005 2.23269376810515e-06 7.4699791497942e-08 81
8413 94 3.71428571428571 0.000162931311892789 1.82046158539429e-06 7.19331325535738e-08 86
8565 99.4285714285714 3.57142857142857 0.000165875037009597 1.92559462528028e-06 6.91664736092055e-08 91
8652 96.1428571428571 4.71428571428571 0.000167559932306717 1.86196146955981e-06 9.12997451641513e-08 100
8799 101.857142857143 4.42857142857143 0.000170406824360472 1.97262782733454e-06 8.57664272754149e-08 103
8897 105 4.14285714285714 0.000172304752396308 2.03349432411064e-06 8.02331093866784e-08 104
8961 103.571428571429 5.42857142857143 0.000173544215603385 2.00582773466696e-06 1.05133039885992e-07 113
9037 102.428571428571 5.57142857142857 0.000175016078161789 1.98369446311201e-06 1.07899698830361e-07 120
9137 103.428571428571 5.71428571428571 0.000176952739422847 2.00306107572259e-06 1.10666357774729e-07 126
9241 96.5714285714286 5.71428571428571 0.000178966867134347 1.87026144639292e-06 1.10666357774729e-07 131
9332 97.1428571428571 5.57142857142857 0.00018072922888191 1.88132808217039e-06 1.07899698830361e-07 139
9478 97 5.85714285714286 0.000183556754323054 1.87856142322602e-06 1.13433016719097e-07 144
9583 98 6.85714285714286 0.000185590248647165 1.8979280358366e-06 1.32799629329675e-07 152
9661 100 6.42857142857143 0.00018710084443079 1.93666126105775e-06 1.2449965249657e-07 158
9786 107 6.14285714285714 0.000189521671007112 2.0722275493318e-06 1.18966334607834e-07 163
9786 92.7142857142857 5.28571428571429 0.000189521671007112 1.79556165489498e-06 1.02366380941624e-07 163
9976 105 5.42857142857143 0.000193201327403122 2.03349432411064e-06 1.05133039885992e-07 169
10062 104.285714285714 5 0.000194866856087631 2.0196610293888e-06 9.68330630528877e-08 174
10156 96.8571428571429 4.71428571428571 0.000196687317673026 1.87579476428165e-06 9.12997451641513e-08 177
