# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
2 0.285714285714286 0 1.58490174417486e-08 2.26414534882123e-09 0 0 2
4 0.571428571428571 0 3.16980348834972e-08 4.52829069764246e-09 0 0 3.69668016277916
5 0.714285714285714 0 3.96225436043715e-08 5.66036337205307e-09 0 0 4.13604195016332
7 1 0 5.54715610461201e-08 7.9245087208743e-09 0 0 5.50877016463226
11 1.57142857142857 0 8.71695959296173e-08 1.24527994185168e-08 0 0 8.67331052982062
16 2.28571428571429 0 1.26792139533989e-07 1.81131627905698e-08 0 0 12.3579169607851
26 3.71428571428571 0 2.06037226742732e-07 2.9433889534676e-08 0 0 20.4837162803181
41 5.57142857142857 0 3.24904857555846e-07 4.4150834302014e-08 0 0 32.3771575364061
53 7 0 4.19998962206338e-07 5.54715610461201e-08 0 0 39.466840459598
82 11 0 6.49809715111693e-07 8.71695959296173e-08 0 0 62.4813026476849
93 12.2857142857143 0 7.3697931104131e-07 9.73582499993128e-08 0 0 64.005393373464
118 15.2857142857143 0 9.35092029063167e-07 1.21131776161936e-07 0 0 79.2983406238165
164 21.1428571428571 0 1.29961943022339e-06 1.67546755812771e-07 0 0 113.271960738867
203 25.2857142857143 0.285714285714286 1.60867527033748e-06 2.00376863370679e-07 2.26414534882123e-09 2 135.093144392368
251 30 0.285714285714286 1.98905168893945e-06 2.37735261626229e-07 2.26414534882123e-09 2 162.604929108995
316 37.5714285714286 0.285714285714286 2.50414475579628e-06 2.97735113369992e-07 2.26414534882123e-09 2 202.944278794672
367 40.7142857142857 0.571428571428571 2.90829470056087e-06 3.22640712207025e-07 4.52829069764246e-09 4 223.165765990222
405 44.5714285714286 0.714285714285714 3.20942603195409e-06 3.53206674416112e-07 5.66036337205307e-09 5 227.320464083512
475 51 0.714285714285714 3.76414164241529e-06 4.04149944764589e-07 5.66036337205307e-09 5 262.845061002124
585 60.1428571428571 1.14285714285714 4.63583760171147e-06 4.76602595926869e-07 9.05658139528491e-09 8 332.982000443391
717 73.4285714285714 1.42857142857143 5.68187275286687e-06 5.81885354647056e-07 1.13207267441061e-08 12 414.481977357411
848 85.2857142857143 2 6.71998339530141e-06 6.75847386623137e-07 1.58490174417486e-08 16 482.6216744059
993 96.7142857142857 2.57142857142857 7.86903715982818e-06 7.66413200575986e-07 2.03773081393911e-08 20 554.427310545876
1094 103.857142857143 3.42857142857143 8.66941254063648e-06 8.23016834296517e-07 2.71697441858547e-08 28 571.342909753094
1215 115.714285714286 3.42857142857143 9.62827809586227e-06 9.16978866272598e-07 2.71697441858547e-08 29 605.693090561299
1378 129 4.57142857142857 1.09199730173648e-05 1.02226162499278e-06 3.62263255811397e-08 37 676.833725743878
1510 132.142857142857 6 1.19660081685202e-05 1.04716722382982e-06 4.75470523252458e-08 50 706.185177984774
1688 138.714285714286 6.85714285714286 1.33765707208358e-05 1.09924256685271e-06 5.43394883717095e-08 60 777.085191367718
1890 148.857142857143 9 1.49773214824524e-05 1.17961972673586e-06 7.13205784878687e-08 79 861.232514491527
2143 164.285714285714 10.5714285714286 1.69822221888336e-05 1.30188357557221e-06 8.37733779063855e-08 94 983.618061439094
2439 192.142857142857 13.8571428571429 1.93278767702124e-05 1.52263774708228e-06 1.0981104941783e-07 125 1130.4426262975
2785 224.285714285714 16 2.20697567876349e-05 1.77735409882466e-06 1.26792139533989e-07 141 1304.99978959947
3181 257.571428571429 19.5714285714286 2.52078622411011e-05 2.04112703196234e-06 1.55093956394254e-07 174 1503.0836277222
3441 275.857142857143 20.5714285714286 2.72682345085285e-05 2.1860323342869e-06 1.63018465115128e-07 194 1535.1260870772
3844 308 24.7142857142857 3.04618115230408e-05 2.44074868602928e-06 1.95848572673036e-07 233 1705.30898965433
4219 332.714285714286 27.7142857142857 3.34335022933687e-05 2.63659725870232e-06 2.19622098835659e-07 273 1821.68196707774
4661 359.714285714286 28.8571428571429 3.69361351479951e-05 2.85055899416593e-06 2.28678680230944e-07 296 1987.40582821666
5014 367.857142857143 29.5714285714286 3.97334867264637e-05 2.91508713660733e-06 2.34339043602997e-07 332 2038.99602206344
5399 373.428571428571 37.8571428571429 4.27844225840003e-05 2.95923797090935e-06 2.99999258718813e-07 406 2114.76205131033
5847 380.857142857143 39.2857142857143 4.6334602490952e-05 3.0181057499787e-06 3.11319985462919e-07 449 2242.0374107282
6297 408 41.7142857142857 4.99006314153455e-05 3.23319955811671e-06 3.30565220927899e-07 486 2352.01019949564
6875 433 44.7142857142857 5.44809974560108e-05 3.43131227613857e-06 3.54338747090522e-07 546 2573.30452406926
7497 468.285714285714 53.8571428571429 5.94100418803946e-05 3.71093422671799e-06 4.26791398252802e-07 650 2805.03736938909
8261 514.285714285714 55.7142857142857 6.54643665431426e-05 4.07546162787821e-06 4.4150834302014e-07 686 3143.62563024835
8772 536.857142857143 54.2857142857143 6.95137904995094e-05 4.25432911043509e-06 4.30187616276033e-07 712 3177.86362302325
9501 586 64.4285714285714 7.52907573570267e-05 4.64376211043234e-06 5.10564776159187e-07 857 3424.90908460053
10544 671 74.4285714285714 8.35560199528986e-05 5.31734535170666e-06 5.8980986336793e-07 970 3948.48765158192
11633 762.285714285714 83.2857142857143 9.21858099499307e-05 6.04073979065504e-06 6.59998369181388e-07 1069 4438.66033570876
12872 856.714285714286 96.4285714285714 0.000102004276255094 6.78903982844045e-06 7.64149055227165e-07 1221 5004.49347045586
13842 906.428571428571 93.5714285714286 0.000109691049714342 7.18300111913535e-06 7.41507601738952e-07 1305 5215.51239804015
14677 916.571428571429 95 0.000116308014496272 7.2633782790185e-06 7.52828328483059e-07 1351 5259.52821224174
15529 965.285714285714 103.142857142857 0.000123059695926457 7.64941506099252e-06 8.17356470924463e-07 1434 5313.86859164395
16752 1035.85714285714 101.714285714286 0.000132751370092086 8.20865896215137e-06 8.06035744180357e-07 1569 5730.96771352875
17799 1036.42857142857 108.857142857143 0.000141048330722842 8.21318725284901e-06 8.62639377900888e-07 1732 5908.80961653603
19224 1084.42857142857 112.857142857143 0.000152340755650088 8.59356367145097e-06 8.94337412784385e-07 1859 6437.68003100771
20739 1123.85714285714 107.285714285714 0.000164346386362212 8.9060157295883e-06 8.50186578482371e-07 1972 6976.34200146515
22088 1178 108 0.000175036548626672 9.33507127318993e-06 8.55846941854424e-07 2061 7267.31054132449
23471 1256.28571428571 114.714285714286 0.000185996144187641 9.95544709876694e-06 9.09054357551723e-07 2154 7548.15081611056
24905 1339.42857142857 119.571428571429 0.000197359889693374 1.06143133952739e-05 9.47544828481684e-07 2271 7837.39887768005
