# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased Sick
1 0.142857142857143 0 2.39413551716799e-07 3.42019359595427e-08 0 0 1
7 1 0.142857142857143 1.67589486201759e-06 2.39413551716799e-07 3.42019359595427e-08 1 6.84834008138958
14 2 0.142857142857143 3.35178972403518e-06 4.78827103433597e-07 3.42019359595427e-08 1 12.8097213820296
27 3.85714285714286 0.142857142857143 6.46416589635356e-06 9.23452270907652e-07 3.42019359595427e-08 1 23.8670000798088
36 5.14285714285714 0.142857142857143 8.61888786180475e-06 1.23126969454354e-06 3.42019359595427e-08 1 29.2473327902301
43 6.14285714285714 0.142857142857143 1.02947827238223e-05 1.47068324626033e-06 3.42019359595427e-08 1 31.8116846796919
43 6.14285714285714 0.142857142857143 1.02947827238223e-05 1.47068324626033e-06 3.42019359595427e-08 1 26.9871271703095
69 9.71428571428571 0.142857142857143 1.65195350684591e-05 2.3257316452489e-06 3.42019359595427e-08 1 48.8942616601313
86 11.2857142857143 0 2.05895654476447e-05 2.70195294080387e-06 0 1 58.4789619162392
109 13.5714285714286 0 2.60960771371311e-05 3.24918391615655e-06 0 1 72.6100473116004
137 15.7142857142857 0 3.27996565852014e-05 3.76221295554969e-06 0 1 89.5980134460243
200 23.4285714285714 0 4.78827103433597e-05 5.609117497365e-06 0 1 139.009586019145
245 28.8571428571429 0.285714285714286 5.86563201706157e-05 6.90879106382762e-06 6.84038719190853e-08 3 162.927403517413
313 38.5714285714286 0.285714285714286 7.4936441687358e-05 9.23452270907652e-06 6.84038719190853e-08 3 206.217846760555
345 39.4285714285714 0.714285714285714 8.25976753422955e-05 9.43973432483378e-06 1.71009679797713e-07 6 206.942864904833
443 51 0.714285714285714 0.000106060203410542 1.22100911375567e-05 1.71009679797713e-07 6 273.557926856359
588 68.4285714285714 0.714285714285714 0.000140775168409478 1.63827273246209e-05 1.71009679797713e-07 6 377.070153934088
674 76.7142857142857 1.14285714285714 0.000161364733857122 1.83664396102744e-05 2.73615487676341e-07 9 405.883725078026
786 83.7142857142857 1.85714285714286 0.000188179051649404 2.0042334472292e-05 4.44625167474055e-07 14 456.327432367398
901 93.7142857142857 2 0.000215711610096836 2.243646998946e-05 4.78827103433597e-07 17 502.120851114856
989 96.5714285714286 3 0.000236780002647914 2.31205087086508e-05 7.18240655150396e-07 24 513.969243702182
1075 104.285714285714 2.85714285714286 0.000257369568095559 2.49674132504661e-05 6.84038719190853e-07 26 522.02071003405
1181 105.428571428571 3.42857142857143 0.000282747404577539 2.52410287381425e-05 8.20846463029024e-07 30 548.851091637332
1317 104.142857142857 3.71428571428571 0.000315307647611024 2.49332113145066e-05 8.89250334948109e-07 32 601.612379750373
1475 114.428571428571 4 0.000353134988782278 2.73957507035937e-05 9.57654206867195e-07 37 668.37189520241
1673 126.714285714286 3.85714285714286 0.000400538872022204 3.03371171961143e-05 9.23452270907652e-07 41 765.00666797452
1801 128.571428571429 4.14285714285714 0.000431183806641954 3.07817423635884e-05 9.91856142826738e-07 46 776.985818973075
1988 142.714285714286 4.28571428571429 0.000475954140812996 3.41677340235831e-05 1.02605807878628e-06 54 846.148212906168
2100 146.428571428571 4.14285714285714 0.000502768458605277 3.50569843585312e-05 9.91856142826738e-07 55 829.821443804466
2249 152.571428571429 4.14285714285714 0.00053844107781108 3.65276676047916e-05 9.91856142826738e-07 59 852.970791175899
2528 173 4.42857142857143 0.000605237458740067 4.14185444470062e-05 1.06026001474582e-06 63 1002.6093104091
2752 182.428571428571 4.14285714285714 0.00065886609432463 4.3675872220336e-05 9.91856142826738e-07 66 1074.5536639944
2974 185.857142857143 4.71428571428571 0.000712015902805759 4.4496718683365e-05 1.12866388666491e-06 74 1133.58694277048
3234 204.714285714286 4.71428571428571 0.000774263426252127 4.90113742300246e-05 1.12866388666491e-06 79 1221.66723929208
3400 201.714285714286 4.71428571428571 0.000814006075837115 4.82931335748742e-05 1.12866388666491e-06 87 1202.38928521202
3472 196 5.57142857142857 0.000831243851560725 4.69250561364925e-05 1.33387550242216e-06 94 1092.03502407872
3574 189.285714285714 5.14285714285714 0.000855664033835838 4.5317565146394e-05 1.23126969454354e-06 95 1028.41708120722
3751 174.714285714286 5.71428571428571 0.000898040232489712 4.18289676785207e-05 1.36807743838171e-06 103 1049.44743037376
4016 180.571428571429 6.14285714285714 0.000961484823694663 4.32312470528619e-05 1.47068324626033e-06 109 1155.28831849736
4210 176.571428571429 6 0.00100793105272772 4.22735928459947e-05 1.43648131030079e-06 116 1174.07738614248
4273 148.428571428571 5.85714285714286 0.00102301410648588 3.55358114619648e-05 1.40227937434125e-06 120 1059.01690531778
4467 152.428571428571 5.57142857142857 0.00106946033551894 3.6493465668832e-05 1.33387550242216e-06 126 1092.40648765023
4658 169.428571428571 6 0.00111518832389685 4.05634960480176e-05 1.43648131030079e-06 136 1117.7322086437
4821 178.142857142857 6.57142857142857 0.00115421273282669 4.26498141415497e-05 1.57328905413896e-06 141 1111.21703285255
4992 177.285714285714 5.85714285714286 0.00119515245017026 4.24446025257924e-05 1.40227937434125e-06 144 1113.68994809162
5166 164.285714285714 5.28571428571429 0.00123681040816898 3.93322263534741e-05 1.26547163050308e-06 146 1118.7878212068
