# totalCases dailyCases dailyDeceased dailyCasesNormalized dailyDeceasedNormalized Population totalDeceased
43 6 0 1.34420131559171e-06 1.87562974268611e-07 0 0
71 9.14285714285714 0 2.21949519551189e-06 2.8581024650455e-07 0 0
86 11 0 2.68840263118342e-06 3.43865452825786e-07 0 0
117 15.1428571428571 0 3.65747799823791e-06 4.7337322077316e-07 0 0
145 18.2857142857143 0 4.53277187815809e-06 5.71620493009099e-07 0 0
234 30.2857142857143 0.285714285714286 7.31495599647582e-06 9.46746441546321e-07 8.93157020326718e-09 2
263 32.1428571428571 0.428571428571429 8.22151037210744e-06 1.00480164786756e-06 1.33973553049008e-08 3
318 39.2857142857143 0.714285714285714 9.94083763623637e-06 1.22809090294924e-06 2.23289255081679e-08 5
363 41.7142857142857 0.714285714285714 1.13475599432509e-05 1.30400924967701e-06 2.23289255081679e-08 5
395 44.1428571428571 0.714285714285714 1.23478958060169e-05 1.37992759640478e-06 2.23289255081679e-08 5
416 42.7142857142857 1 1.3004366215957e-05 1.33526974538844e-06 3.12604957114351e-08 7
558 59 1.14285714285714 1.74433566069808e-05 1.84436924697467e-06 3.57262808130687e-08 8
580 49.4285714285714 1 1.81310875126324e-05 1.54516164516522e-06 3.12604957114351e-08 9
635 53.1428571428571 1.14285714285714 1.98504147767613e-05 1.66127205780769e-06 3.57262808130687e-08 11
671 50.4285714285714 1.57142857142857 2.0975792622373e-05 1.57642214087666e-06 4.91236361179695e-08 16
852 69.8571428571429 1.85714285714286 2.66339423461427e-05 2.18376891469882e-06 5.80552063212366e-08 18
950 79.2857142857143 2.71428571428571 2.96974709258634e-05 2.47851073140664e-06 8.48499169310382e-08 24
1065 92.7142857142857 3.28571428571429 3.32924279326784e-05 2.8982945309602e-06 1.02713057337573e-07 30
1323 109.285714285714 5.57142857142857 4.13576358262287e-05 3.4163256027497e-06 1.7416561896371e-07 47
1414 119.142857142857 6.57142857142857 4.42023409359692e-05 3.72446477476241e-06 2.05426114675145e-07 55
1595 137.142857142857 7.14285714285714 4.9860490659739e-05 4.28715369756824e-06 2.23289255081679e-07 61
1746 153.571428571429 8.14285714285714 5.45808255121657e-05 4.80071898425611e-06 2.54549750793114e-07 73
2281 204.142857142857 9.28571428571429 7.13051907177835e-05 6.3816069102344e-06 2.90276031606183e-07 83
2561 230.142857142857 9.71428571428571 8.00581295169853e-05 7.19437979873171e-06 3.03673386911084e-07 92
2954 269.857142857143 11 9.23435043315793e-05 8.43586805698585e-06 3.43865452825786e-07 107
4342 431.285714285714 10.5714285714286 0.000135733072379051 1.34822052218318e-05 3.30468097520886e-07 121
5256 548.857142857143 11.8571428571429 0.000164305165459303 1.71575463604762e-05 3.70660163435588e-07 138
5897 614.571428571429 15.4285714285714 0.000184343143210333 1.92118075072277e-05 4.82304790976428e-07 169
6848 728.857142857143 15.4285714285714 0.000214071874631908 2.27844355885346e-05 4.82304790976428e-07 181
7519 748.285714285714 15.7142857142857 0.000235047667254281 2.33917823623567e-05 4.91236361179695e-07 193
7519 708.285714285714 14.4285714285714 0.000235047667254281 2.21413625338993e-05 4.51044295264992e-07 193
10303 1049.85714285714 17.5714285714286 0.000322076887314916 3.28190547119052e-05 5.49291567500931e-07 230
11475 1019 19 0.000358714188288718 3.18544451299524e-05 5.93949418517267e-07 254
12491 1033.57142857143 19.4285714285714 0.000390474851931536 3.2309955210319e-05 6.07346773822168e-07 274
13489 1084.57142857143 18.7142857142857 0.000421672826651548 3.39042404916022e-05 5.85017848314e-07 300
14420 1081.71428571429 23.8571428571429 0.000450776348158894 3.38149247895695e-05 7.45786111972809e-07 348
15628 1158.42857142857 29.5714285714286 0.000488539026978308 3.62130513891468e-05 9.24417516038153e-07 400
16325 1258 36 0.000510327592489178 3.93257036049854e-05 1.12537784561166e-06 445
17837 1076.28571428571 36.2857142857143 0.000557593462004868 3.36452249557075e-05 1.13430941581493e-06 484
19250 1110.71428571429 39.4285714285714 0.000601764542445126 3.47214791652011e-05 1.23255668805087e-06 530
20914 1203.28571428571 42.5714285714286 0.000653782007308954 3.76153079110597e-05 1.33080396028681e-06 572
21648 1165.57142857143 47.7142857142857 0.000676727211161147 3.64363406442284e-05 1.49157222394562e-06 634
25331 1558.71428571429 50.2857142857143 0.000791859616866363 4.87261812439241e-05 1.57195635577502e-06 700
27517 1698.42857142857 46.8571428571429 0.00086019506049156 5.30937190733217e-05 1.46477751333582e-06 728
28699 1767.71428571429 48.1428571428571 0.000897144966422476 5.5259624847614e-05 1.50496957925052e-06 782
